"Name","algorithm","alpha","seed","tau","tau_decay","Episode_return"
"q_learning_alpha0.4008136853932416_tau3.028627144081497_tau_decay0.95758730126184_seed50","q_learning","0.4008136853932416","50","3.028627144081497","0.95758730126184",""
"q_learning_alpha0.25384284787858113_tau2.186852677335066_tau_decay0.9008523619658564_seed50","q_learning","0.25384284787858113","50","2.186852677335066","0.9008523619658564","186"
"q_learning_alpha0.5487516787755226_tau2.4181957551009523_tau_decay0.9503413676665334_seed50","q_learning","0.5487516787755226","50","2.4181957551009523","0.9503413676665334","105"
"q_learning_alpha0.6316220480202961_tau0.7737905565908465_tau_decay0.9778012342182528_seed20","q_learning","0.6316220480202961","20","0.7737905565908465","0.9778012342182528","15"
"q_learning_alpha0.056196801152591264_tau2.7750437266321075_tau_decay0.9633604565629874_seed50","q_learning","0.056196801152591264","50","2.7750437266321075","0.9633604565629874","404"
"q_learning_alpha0.08673033343014074_tau3.6935646664435526_tau_decay0.9215453424350942_seed40","q_learning","0.08673033343014074","40","3.6935646664435526","0.9215453424350942","120"
"q_learning_alpha0.11164166052569668_tau2.6057573486929915_tau_decay0.9372490677016672_seed50","q_learning","0.11164166052569668","50","2.6057573486929915","0.9372490677016672","194"
"q_learning_alpha0.15053815650728972_tau3.042758301545542_tau_decay0.9666317964967122_seed50","q_learning","0.15053815650728972","50","3.042758301545542","0.9666317964967122","500"
"q_learning_alpha0.6401499195519175_tau1.9086782903722663_tau_decay0.9383845260140704_seed10","q_learning","0.6401499195519175","10","1.9086782903722663","0.9383845260140704","34"
"q_learning_alpha0.6875994890404643_tau3.8173924787489377_tau_decay0.9348582463821564_seed20","q_learning","0.6875994890404643","20","3.8173924787489377","0.9348582463821564","220"
"q_learning_alpha0.5205236517863627_tau0.7554169271246611_tau_decay0.9788353582243676_seed10","q_learning","0.5205236517863627","10","0.7554169271246611","0.9788353582243676","65"
"q_learning_alpha0.7326455450442584_tau2.892151939026978_tau_decay0.9543167685079842_seed10","q_learning","0.7326455450442584","10","2.892151939026978","0.9543167685079842","98"
"q_learning_alpha0.6381264791808656_tau2.8379935008932495_tau_decay0.9375992748923208_seed20","q_learning","0.6381264791808656","20","2.8379935008932495","0.9375992748923208","204"
"q_learning_alpha0.597656809781578_tau0.5476534911472914_tau_decay0.959650204071414_seed10","q_learning","0.597656809781578","10","0.5476534911472914","0.959650204071414","25"
"q_learning_alpha0.7883890700439881_tau2.186459754579256_tau_decay0.9428410358855212_seed40","q_learning","0.7883890700439881","40","2.186459754579256","0.9428410358855212","57"
"q_learning_alpha0.9197080772304678_tau2.6863414865056767_tau_decay0.9275312411539388_seed50","q_learning","0.9197080772304678","50","2.6863414865056767","0.9275312411539388","114"
"q_learning_alpha0.08592505668235105_tau0.8677013979518129_tau_decay0.93266080385355_seed40","q_learning","0.08592505668235105","40","0.8677013979518129","0.93266080385355","32"
"q_learning_alpha0.2131028237637711_tau3.139605569664223_tau_decay0.9531035428568888_seed30","q_learning","0.2131028237637711","30","3.139605569664223","0.9531035428568888","131"
"q_learning_alpha0.139104928154264_tau3.1536245174412554_tau_decay0.9858127747480272_seed10","q_learning","0.139104928154264","10","3.1536245174412554","0.9858127747480272","90"
"q_learning_alpha0.9838929548466248_tau2.0576674199512843_tau_decay0.965198318599244_seed20","q_learning","0.9838929548466248","20","2.0576674199512843","0.965198318599244","25"
"q_learning_alpha0.310920143193041_tau1.963988900059924_tau_decay0.9170944507219884_seed40","q_learning","0.310920143193041","40","1.963988900059924","0.9170944507219884","80"
"q_learning_alpha0.7259712629615072_tau2.9263728345625073_tau_decay0.9813206101302192_seed30","q_learning","0.7259712629615072","30","2.9263728345625073","0.9813206101302192","121"
"q_learning_alpha0.9356025110848398_tau2.001533309615943_tau_decay0.9425532595031472_seed50","q_learning","0.9356025110848398","50","2.001533309615943","0.9425532595031472","51"
"q_learning_alpha0.33727496948028224_tau1.8921635957475071_tau_decay0.9694143465540926_seed50","q_learning","0.33727496948028224","50","1.8921635957475071","0.9694143465540926","66"
"q_learning_alpha0.7294186416227301_tau1.605449122277446_tau_decay0.9860031372540592_seed50","q_learning","0.7294186416227301","50","1.605449122277446","0.9860031372540592","75"
"q_learning_alpha0.2842973795890304_tau2.2935320384596847_tau_decay0.9145850740496058_seed30","q_learning","0.2842973795890304","30","2.2935320384596847","0.9145850740496058","107"
"q_learning_alpha0.27228452877035825_tau2.338714505367177_tau_decay0.936542150717278_seed50","q_learning","0.27228452877035825","50","2.338714505367177","0.936542150717278","262"
"q_learning_alpha0.09366300849128233_tau1.0000325257612617_tau_decay0.9534699162733136_seed10","q_learning","0.09366300849128233","10","1.0000325257612617","0.9534699162733136","37"
"q_learning_alpha0.3188819475597703_tau2.4215939717115305_tau_decay0.9249545653759632_seed50","q_learning","0.3188819475597703","50","2.4215939717115305","0.9249545653759632","132"
"q_learning_alpha0.19400992909983408_tau2.0387828145704443_tau_decay0.9142122329662384_seed50","q_learning","0.19400992909983408","50","2.0387828145704443","0.9142122329662384","500"
"q_learning_alpha0.0800877641685819_tau2.4594491582995808_tau_decay0.9715383392291208_seed30","q_learning","0.0800877641685819","30","2.4594491582995808","0.9715383392291208","146"
"q_learning_alpha0.436559873617456_tau2.281010337690029_tau_decay0.9618555098643536_seed30","q_learning","0.436559873617456","30","2.281010337690029","0.9618555098643536","65"
"q_learning_alpha0.907333811693981_tau3.0133214943818976_tau_decay0.900561609745564_seed10","q_learning","0.907333811693981","10","3.0133214943818976","0.900561609745564","25"
"q_learning_alpha0.7820514228359652_tau1.487183526972101_tau_decay0.9015828392195556_seed10","q_learning","0.7820514228359652","10","1.487183526972101","0.9015828392195556","41"
"q_learning_alpha0.9686096948154528_tau1.9870850748418496_tau_decay0.9425559195140965_seed20","q_learning","0.9686096948154528","20","1.9870850748418496","0.9425559195140965","29"
"q_learning_alpha0.8095214180334864_tau3.969723935685093_tau_decay0.9549437604668786_seed20","q_learning","0.8095214180334864","20","3.969723935685093","0.9549437604668786","15"
"q_learning_alpha0.954975874142115_tau2.175280742325933_tau_decay0.9691376569151212_seed10","q_learning","0.954975874142115","10","2.175280742325933","0.9691376569151212","58"
"q_learning_alpha0.03192769954615207_tau0.9009292637327184_tau_decay0.9288018965853332_seed50","q_learning","0.03192769954615207","50","0.9009292637327184","0.9288018965853332","52"
"q_learning_alpha0.5732059926384792_tau3.680787208320074_tau_decay0.965620501400029_seed30","q_learning","0.5732059926384792","30","3.680787208320074","0.965620501400029","79"
"q_learning_alpha0.26762585414254725_tau3.910190996037171_tau_decay0.9158074142292104_seed20","q_learning","0.26762585414254725","20","3.910190996037171","0.9158074142292104","87"
"q_learning_alpha0.9603529882285344_tau3.68765691285816_tau_decay0.9174881780142308_seed30","q_learning","0.9603529882285344","30","3.68765691285816","0.9174881780142308","45"
"q_learning_alpha0.33619153075637603_tau3.959406568552096_tau_decay0.9069233332762522_seed10","q_learning","0.33619153075637603","10","3.959406568552096","0.9069233332762522","110"
"q_learning_alpha0.31426645307375795_tau2.0113874130847065_tau_decay0.9446860033668896_seed20","q_learning","0.31426645307375795","20","2.0113874130847065","0.9446860033668896","174"
"q_learning_alpha0.6304806554358531_tau2.8241729266925555_tau_decay0.9890075695089452_seed30","q_learning","0.6304806554358531","30","2.8241729266925555","0.9890075695089452","135"
"q_learning_alpha0.9431145249479131_tau2.0611284270973176_tau_decay0.9225069549502056_seed30","q_learning","0.9431145249479131","30","2.0611284270973176","0.9225069549502056","43"
"q_learning_alpha0.3206951948242583_tau2.547257802637163_tau_decay0.9513823765223728_seed50","q_learning","0.3206951948242583","50","2.547257802637163","0.9513823765223728","215"
"q_learning_alpha0.10779659950092509_tau2.869435203594425_tau_decay0.9642404845205096_seed50","q_learning","0.10779659950092509","50","2.869435203594425","0.9642404845205096","387"
"q_learning_alpha0.9688158675312056_tau1.998647956665987_tau_decay0.9101469552201692_seed20","q_learning","0.9688158675312056","20","1.998647956665987","0.9101469552201692","13"
"q_learning_alpha0.6799136542246834_tau3.433012113992875_tau_decay0.9125384193094916_seed40","q_learning","0.6799136542246834","40","3.433012113992875","0.9125384193094916","125"
"q_learning_alpha0.5525133177525414_tau1.8414841595853464_tau_decay0.9838579906781532_seed40","q_learning","0.5525133177525414","40","1.8414841595853464","0.9838579906781532","150"
"q_learning_alpha0.868315251847195_tau3.639049890611718_tau_decay0.9179315239763476_seed20","q_learning","0.868315251847195","20","3.639049890611718","0.9179315239763476","121"
"q_learning_alpha0.7617785246397443_tau1.3313492970075818_tau_decay0.9658877471492988_seed50","q_learning","0.7617785246397443","50","1.3313492970075818","0.9658877471492988","38"
"q_learning_alpha0.9087536417620664_tau0.9427299643455134_tau_decay0.9477168459420072_seed30","q_learning","0.9087536417620664","30","0.9427299643455134","0.9477168459420072","89"
"q_learning_alpha0.3217444253633945_tau1.605624037651204_tau_decay0.931707254103254_seed40","q_learning","0.3217444253633945","40","1.605624037651204","0.931707254103254","103"
"q_learning_alpha0.12397958343595326_tau2.865031391612629_tau_decay0.94731044762516_seed50","q_learning","0.12397958343595326","50","2.865031391612629","0.94731044762516","297"
"q_learning_alpha0.8923264746703465_tau2.653727346242464_tau_decay0.98540140829724_seed30","q_learning","0.8923264746703465","30","2.653727346242464","0.98540140829724","56"
"q_learning_alpha0.4203220787513921_tau2.777112417632472_tau_decay0.9013954122297932_seed50","q_learning","0.4203220787513921","50","2.777112417632472","0.9013954122297932","209"
"q_learning_alpha0.982512214767306_tau3.8811240761506753_tau_decay0.9539429568687394_seed50","q_learning","0.982512214767306","50","3.8811240761506753","0.9539429568687394","38"
"q_learning_alpha0.8851703360524669_tau3.558354533036125_tau_decay0.9287730700189792_seed10","q_learning","0.8851703360524669","10","3.558354533036125","0.9287730700189792","34"
"q_learning_alpha0.5985098368727273_tau0.5388614323889644_tau_decay0.9759445892645076_seed30","q_learning","0.5985098368727273","30","0.5388614323889644","0.9759445892645076","31"
"q_learning_alpha0.8329908225332622_tau0.5650543772645843_tau_decay0.9160509218938886_seed50","q_learning","0.8329908225332622","50","0.5650543772645843","0.9160509218938886","42"
"q_learning_alpha0.8788619445809803_tau3.8730229704812023_tau_decay0.9844050102517304_seed40","q_learning","0.8788619445809803","40","3.8730229704812023","0.9844050102517304","79"
"q_learning_alpha0.7878105623950008_tau3.992261705836352_tau_decay0.9169347647355844_seed50","q_learning","0.7878105623950008","50","3.992261705836352","0.9169347647355844","123"
"q_learning_alpha0.1263903826384421_tau1.6936959852624385_tau_decay0.988566251097676_seed10","q_learning","0.1263903826384421","10","1.6936959852624385","0.988566251097676","107"
"q_learning_alpha0.043123171974130445_tau3.9859932547405617_tau_decay0.954195359925984_seed30","q_learning","0.043123171974130445","30","3.9859932547405617","0.954195359925984","83"
"q_learning_alpha0.8193985057253788_tau3.1840293405388493_tau_decay0.9123773382997268_seed10","q_learning","0.8193985057253788","10","3.1840293405388493","0.9123773382997268","34"
"q_learning_alpha0.538205098188878_tau3.878033604067351_tau_decay0.910943177125388_seed10","q_learning","0.538205098188878","10","3.878033604067351","0.910943177125388","58"
"q_learning_alpha0.9471917964277692_tau1.2709637454820406_tau_decay0.9416791917659916_seed40","q_learning","0.9471917964277692","40","1.2709637454820406","0.9416791917659916","31"
"q_learning_alpha0.3690452822167244_tau0.6031486750113307_tau_decay0.969920390641896_seed10","q_learning","0.3690452822167244","10","0.6031486750113307","0.969920390641896","92"
"q_learning_alpha0.8250855253810995_tau2.978843120091832_tau_decay0.9701789166229188_seed20","q_learning","0.8250855253810995","20","2.978843120091832","0.9701789166229188","17"
"q_learning_alpha0.2313704272526361_tau3.3294485895470554_tau_decay0.96114331237057_seed50","q_learning","0.2313704272526361","50","3.3294485895470554","0.96114331237057","144"
"q_learning_alpha0.2035459620853761_tau2.7331858781637703_tau_decay0.9680975239531536_seed50","q_learning","0.2035459620853761","50","2.7331858781637703","0.9680975239531536","282"
