"Name","algorithm","alpha","epsilon","epsilon_decay","seed","Episode_return"
"sarsa_alpha0.20627524264434188_epsilon0.11674756814125414_epsilon_decay0.9477352167599364_seed30","sarsa","0.20627524264434188","0.11674756814125414","0.9477352167599364","30",""
"sarsa_alpha0.9349969179300384_epsilon0.06156591025409422_epsilon_decay0.9342429100551044_seed20","sarsa","0.9349969179300384","0.06156591025409422","0.9342429100551044","20","30"
"sarsa_alpha0.05865429170496162_epsilon0.12123281189064196_epsilon_decay0.974106544812696_seed30","sarsa","0.05865429170496162","0.12123281189064196","0.974106544812696","30","133"
"sarsa_alpha0.19411571561282143_epsilon0.1059211100764779_epsilon_decay0.948609225488924_seed30","sarsa","0.19411571561282143","0.1059211100764779","0.948609225488924","30","172"
"sarsa_alpha0.7716716788381519_epsilon0.14539038046529232_epsilon_decay0.9071483982767228_seed40","sarsa","0.7716716788381519","0.14539038046529232","0.9071483982767228","40","102"
"sarsa_alpha0.3964655635650209_epsilon0.03332088791883262_epsilon_decay0.9512445738597836_seed10","sarsa","0.3964655635650209","0.03332088791883262","0.9512445738597836","10","157"
"sarsa_alpha0.8442208167492021_epsilon0.1792911658322146_epsilon_decay0.9169680546802836_seed50","sarsa","0.8442208167492021","0.1792911658322146","0.9169680546802836","50","86"
"sarsa_alpha0.0998190572242181_epsilon0.1303754452512811_epsilon_decay0.9331471852927776_seed10","sarsa","0.0998190572242181","0.1303754452512811","0.9331471852927776","10","145"
"sarsa_alpha0.40439049603835897_epsilon0.14778870385854342_epsilon_decay0.9604339077306736_seed10","sarsa","0.40439049603835897","0.14778870385854342","0.9604339077306736","10","182"
"sarsa_alpha0.6111457094488244_epsilon0.11768359334600637_epsilon_decay0.9609210324319426_seed40","sarsa","0.6111457094488244","0.11768359334600637","0.9609210324319426","40","165"
"sarsa_alpha0.9723725012798892_epsilon0.01854686746354557_epsilon_decay0.9377752276420792_seed40","sarsa","0.9723725012798892","0.01854686746354557","0.9377752276420792","40","60"
"sarsa_alpha0.09765225208280118_epsilon0.19176524466713127_epsilon_decay0.9296850281004116_seed40","sarsa","0.09765225208280118","0.19176524466713127","0.9296850281004116","40","164"
"sarsa_alpha0.7026839329432641_epsilon0.10273173080475322_epsilon_decay0.986125060080254_seed30","sarsa","0.7026839329432641","0.10273173080475322","0.986125060080254","30","159"
"sarsa_alpha0.9256567286766938_epsilon0.1916628011094139_epsilon_decay0.9766579964953602_seed40","sarsa","0.9256567286766938","0.1916628011094139","0.9766579964953602","40","42"
"sarsa_alpha0.9827621739625934_epsilon0.19093491609144791_epsilon_decay0.9440607366303606_seed20","sarsa","0.9827621739625934","0.19093491609144791","0.9440607366303606","20","37"
"sarsa_alpha0.6305306448203245_epsilon0.1591782314923043_epsilon_decay0.9593555075691482_seed40","sarsa","0.6305306448203245","0.1591782314923043","0.9593555075691482","40","135"
"sarsa_alpha0.8770023748116677_epsilon0.05439023713850256_epsilon_decay0.9325301553312316_seed50","sarsa","0.8770023748116677","0.05439023713850256","0.9325301553312316","50","19"
"sarsa_alpha0.6013183425154567_epsilon0.06754897828932097_epsilon_decay0.929195407929161_seed40","sarsa","0.6013183425154567","0.06754897828932097","0.929195407929161","40","105"
"sarsa_alpha0.7888796942261839_epsilon0.06642927392165572_epsilon_decay0.9782819504128905_seed40","sarsa","0.7888796942261839","0.06642927392165572","0.9782819504128905","40","19"
"sarsa_alpha0.926764666545048_epsilon0.05983325045394998_epsilon_decay0.938902603404023_seed20","sarsa","0.926764666545048","0.05983325045394998","0.938902603404023","20","17"
"sarsa_alpha0.6006797673764988_epsilon0.09348733646070116_epsilon_decay0.969617556817141_seed50","sarsa","0.6006797673764988","0.09348733646070116","0.969617556817141","50","144"
"sarsa_alpha0.9078750635309414_epsilon0.19487535672827824_epsilon_decay0.900635720471366_seed40","sarsa","0.9078750635309414","0.19487535672827824","0.900635720471366","40","13"
"sarsa_alpha0.4255223075862_epsilon0.08287870506977642_epsilon_decay0.9210449225795488_seed40","sarsa","0.4255223075862","0.08287870506977642","0.9210449225795488","40","123"
"sarsa_alpha0.4994909511886216_epsilon0.05233109351866232_epsilon_decay0.9104901587468422_seed20","sarsa","0.4994909511886216","0.05233109351866232","0.9104901587468422","20","142"
"sarsa_alpha0.22345556661424923_epsilon0.1103561153577345_epsilon_decay0.9853754558016784_seed30","sarsa","0.22345556661424923","0.1103561153577345","0.9853754558016784","30","165"
"sarsa_alpha0.5878846795606442_epsilon0.0520165014178953_epsilon_decay0.9478230238949498_seed40","sarsa","0.5878846795606442","0.0520165014178953","0.9478230238949498","40","104"
"sarsa_alpha0.19878817736254195_epsilon0.11761017336646631_epsilon_decay0.9720385557980364_seed20","sarsa","0.19878817736254195","0.11761017336646631","0.9720385557980364","20","200"
"sarsa_alpha0.11416523141814322_epsilon0.06418823131056556_epsilon_decay0.9150665481716832_seed50","sarsa","0.11416523141814322","0.06418823131056556","0.9150665481716832","50","92"
"sarsa_alpha0.02261410381619715_epsilon0.18127745109977_epsilon_decay0.947304541923448_seed20","sarsa","0.02261410381619715","0.18127745109977","0.947304541923448","20","124"
"sarsa_alpha0.6722133845195811_epsilon0.13861625094028016_epsilon_decay0.951449507174783_seed50","sarsa","0.6722133845195811","0.13861625094028016","0.951449507174783","50","81"
"sarsa_alpha0.8536940425378444_epsilon0.0521617864124954_epsilon_decay0.9548453930626938_seed50","sarsa","0.8536940425378444","0.0521617864124954","0.9548453930626938","50","19"
"sarsa_alpha0.7882917813867824_epsilon0.02713686500462518_epsilon_decay0.9191684840648396_seed30","sarsa","0.7882917813867824","0.02713686500462518","0.9191684840648396","30","24"
"sarsa_alpha0.29164319851835435_epsilon0.056604424964629446_epsilon_decay0.93379453542803_seed50","sarsa","0.29164319851835435","0.056604424964629446","0.93379453542803","50","193"
"sarsa_alpha0.8223916297841138_epsilon0.15267453865837785_epsilon_decay0.9689936005191871_seed40","sarsa","0.8223916297841138","0.15267453865837785","0.9689936005191871","40","30"
"sarsa_alpha0.9974933236408244_epsilon0.09447158435638604_epsilon_decay0.972356403869607_seed10","sarsa","0.9974933236408244","0.09447158435638604","0.972356403869607","10","24"
"sarsa_alpha0.8860421703379684_epsilon0.16064082751569805_epsilon_decay0.901229728903531_seed10","sarsa","0.8860421703379684","0.16064082751569805","0.901229728903531","10","22"
"sarsa_alpha0.04879729495458984_epsilon0.1976746621008953_epsilon_decay0.914611376656479_seed40","sarsa","0.04879729495458984","0.1976746621008953","0.914611376656479","40","117"
"sarsa_alpha0.41565985824850216_epsilon0.09042150276085376_epsilon_decay0.9574630020315208_seed30","sarsa","0.41565985824850216","0.09042150276085376","0.9574630020315208","30","116"
"sarsa_alpha0.5633319646676951_epsilon0.06885566057447466_epsilon_decay0.9479730039215792_seed30","sarsa","0.5633319646676951","0.06885566057447466","0.9479730039215792","30","54"
"sarsa_alpha0.9182430629061376_epsilon0.15738150335303247_epsilon_decay0.9864904109304736_seed40","sarsa","0.9182430629061376","0.15738150335303247","0.9864904109304736","40","13"
"sarsa_alpha0.20274863680356944_epsilon0.09803009812731316_epsilon_decay0.9451905917070784_seed30","sarsa","0.20274863680356944","0.09803009812731316","0.9451905917070784","30","136"
"sarsa_alpha0.08757909472341686_epsilon0.03656210684862399_epsilon_decay0.9228861561676324_seed10","sarsa","0.08757909472341686","0.03656210684862399","0.9228861561676324","10","33"
"sarsa_alpha0.6298399569454678_epsilon0.08464466784806267_epsilon_decay0.958024325289776_seed40","sarsa","0.6298399569454678","0.08464466784806267","0.958024325289776","40","58"
"sarsa_alpha0.1912196493999421_epsilon0.10286649043736248_epsilon_decay0.9227016106815076_seed40","sarsa","0.1912196493999421","0.10286649043736248","0.9227016106815076","40","161"
"sarsa_alpha0.8686352635293001_epsilon0.02528239481153137_epsilon_decay0.9539845468718252_seed30","sarsa","0.8686352635293001","0.02528239481153137","0.9539845468718252","30","13"
"sarsa_alpha0.3612733746795674_epsilon0.11993539743804783_epsilon_decay0.905932422861409_seed30","sarsa","0.3612733746795674","0.11993539743804783","0.905932422861409","30","143"
"sarsa_alpha0.9801593467671512_epsilon0.06231417493500958_epsilon_decay0.9181160864372944_seed40","sarsa","0.9801593467671512","0.06231417493500958","0.9181160864372944","40","16"
"sarsa_alpha0.4648871715406723_epsilon0.04471543683654067_epsilon_decay0.9327370506764706_seed20","sarsa","0.4648871715406723","0.04471543683654067","0.9327370506764706","20","47"
"sarsa_alpha0.421448041675432_epsilon0.16558085024602792_epsilon_decay0.9853627699721764_seed20","sarsa","0.421448041675432","0.16558085024602792","0.9853627699721764","20","89"
"sarsa_alpha0.8473683572335082_epsilon0.06898025019778727_epsilon_decay0.9889748136997978_seed30","sarsa","0.8473683572335082","0.06898025019778727","0.9889748136997978","30","20"
"sarsa_alpha0.48883458858730217_epsilon0.11475145125572211_epsilon_decay0.9546157459490976_seed30","sarsa","0.48883458858730217","0.11475145125572211","0.9546157459490976","30","465"
"sarsa_alpha0.6631388048798412_epsilon0.1339505741298243_epsilon_decay0.9497086431108692_seed20","sarsa","0.6631388048798412","0.1339505741298243","0.9497086431108692","20","160"
"sarsa_alpha0.396779942440617_epsilon0.1722797827549139_epsilon_decay0.9168220800519143_seed10","sarsa","0.396779942440617","0.1722797827549139","0.9168220800519143","10","255"
"sarsa_alpha0.4061213988380262_epsilon0.04776831641833018_epsilon_decay0.9454865077558016_seed10","sarsa","0.4061213988380262","0.04776831641833018","0.9454865077558016","10","231"
"sarsa_alpha0.4802309525130694_epsilon0.07040497135891091_epsilon_decay0.9416037149545542_seed30","sarsa","0.4802309525130694","0.07040497135891091","0.9416037149545542","30","92"
"sarsa_alpha0.5577962878576431_epsilon0.10956208241635232_epsilon_decay0.9111999972360584_seed40","sarsa","0.5577962878576431","0.10956208241635232","0.9111999972360584","40","100"
"sarsa_alpha0.05021993467134219_epsilon0.05727450271192648_epsilon_decay0.902712169189756_seed30","sarsa","0.05021993467134219","0.05727450271192648","0.902712169189756","30","21"
"sarsa_alpha0.08587947531654581_epsilon0.11538495876544984_epsilon_decay0.9075222253551356_seed40","sarsa","0.08587947531654581","0.11538495876544984","0.9075222253551356","40","153"
"sarsa_alpha0.6752501173892653_epsilon0.05056842669262808_epsilon_decay0.9764657983077316_seed10","sarsa","0.6752501173892653","0.05056842669262808","0.9764657983077316","10","58"
"sarsa_alpha0.723160463176164_epsilon0.0512921927672515_epsilon_decay0.9591945326829238_seed30","sarsa","0.723160463176164","0.0512921927672515","0.9591945326829238","30","22"
"sarsa_alpha0.7449877131041421_epsilon0.11772232369011984_epsilon_decay0.9031542682976368_seed10","sarsa","0.7449877131041421","0.11772232369011984","0.9031542682976368","10","49"
"sarsa_alpha0.5133930791469973_epsilon0.12764149665361865_epsilon_decay0.9333836221971964_seed40","sarsa","0.5133930791469973","0.12764149665361865","0.9333836221971964","40","267"
"sarsa_alpha0.5249474411951417_epsilon0.03915889108317139_epsilon_decay0.917823589801738_seed50","sarsa","0.5249474411951417","0.03915889108317139","0.917823589801738","50","192"
"sarsa_alpha0.28405704585266855_epsilon0.020051901630297953_epsilon_decay0.9418389423023594_seed10","sarsa","0.28405704585266855","0.020051901630297953","0.9418389423023594","10","260"
"sarsa_alpha0.4959654069914266_epsilon0.03783146531562678_epsilon_decay0.9624809588698986_seed30","sarsa","0.4959654069914266","0.03783146531562678","0.9624809588698986","30","110"
"sarsa_alpha0.46743003483995577_epsilon0.1523634031052506_epsilon_decay0.9406289778067936_seed30","sarsa","0.46743003483995577","0.1523634031052506","0.9406289778067936","30","137"
"sarsa_alpha0.8590026327565821_epsilon0.11642522220198248_epsilon_decay0.9465459866541668_seed10","sarsa","0.8590026327565821","0.11642522220198248","0.9465459866541668","10","17"
"sarsa_alpha0.06203950851690875_epsilon0.10331668567353344_epsilon_decay0.906555339998372_seed10","sarsa","0.06203950851690875","0.10331668567353344","0.906555339998372","10","94"
"sarsa_alpha0.3194735094105059_epsilon0.08076092282359709_epsilon_decay0.9355548961075668_seed40","sarsa","0.3194735094105059","0.08076092282359709","0.9355548961075668","40","228"
"sarsa_alpha0.03523022412861384_epsilon0.048339758584530344_epsilon_decay0.9842749068149436_seed50","sarsa","0.03523022412861384","0.048339758584530344","0.9842749068149436","50","133"
"sarsa_alpha0.21246300150022931_epsilon0.14177069370123246_epsilon_decay0.9719734088526468_seed50","sarsa","0.21246300150022931","0.14177069370123246","0.9719734088526468","50","168"
"sarsa_alpha0.5812789251346756_epsilon0.014735747693701937_epsilon_decay0.9036306689290076_seed50","sarsa","0.5812789251346756","0.014735747693701937","0.9036306689290076","50","143"
"sarsa_alpha0.8137501980204382_epsilon0.10692867538350574_epsilon_decay0.9865046779243782_seed10","sarsa","0.8137501980204382","0.10692867538350574","0.9865046779243782","10","67"
"sarsa_alpha0.2526926635925706_epsilon0.021216679797572326_epsilon_decay0.9458388092678104_seed50","sarsa","0.2526926635925706","0.021216679797572326","0.9458388092678104","50","228"
"sarsa_alpha0.8408210705820054_epsilon0.17974457475698663_epsilon_decay0.9651655359496316_seed50","sarsa","0.8408210705820054","0.17974457475698663","0.9651655359496316","50","23"
"sarsa_alpha0.364372722927151_epsilon0.11762558449605502_epsilon_decay0.987615060605153_seed20","sarsa","0.364372722927151","0.11762558449605502","0.987615060605153","20","103"
"sarsa_alpha0.39796015000131785_epsilon0.09532522209513934_epsilon_decay0.907916652774326_seed30","sarsa","0.39796015000131785","0.09532522209513934","0.907916652774326","30","30"
"sarsa_alpha0.23095482426973743_epsilon0.07771678087727014_epsilon_decay0.9687813052141828_seed10","sarsa","0.23095482426973743","0.07771678087727014","0.9687813052141828","10","236"
"sarsa_alpha0.8009534237587687_epsilon0.03063801382411882_epsilon_decay0.907479332340662_seed40","sarsa","0.8009534237587687","0.03063801382411882","0.907479332340662","40","42"
"sarsa_alpha0.5361983578120267_epsilon0.11234359559684295_epsilon_decay0.9133775078572114_seed40","sarsa","0.5361983578120267","0.11234359559684295","0.9133775078572114","40","302"
"sarsa_alpha0.02138511092287297_epsilon0.09381421896927078_epsilon_decay0.918612502997783_seed20","sarsa","0.02138511092287297","0.09381421896927078","0.918612502997783","20","85"
"sarsa_alpha0.8010372943436781_epsilon0.04501125502369477_epsilon_decay0.901796607206262_seed40","sarsa","0.8010372943436781","0.04501125502369477","0.901796607206262","40","55"
"sarsa_alpha0.4536583299989281_epsilon0.13971670173691847_epsilon_decay0.9518619482702144_seed40","sarsa","0.4536583299989281","0.13971670173691847","0.9518619482702144","40","205"
"sarsa_alpha0.8472494513354499_epsilon0.11754659926554438_epsilon_decay0.9804488409129202_seed20","sarsa","0.8472494513354499","0.11754659926554438","0.9804488409129202","20","14"
"sarsa_alpha0.6203036113555538_epsilon0.06996249537736343_epsilon_decay0.9737391088901136_seed10","sarsa","0.6203036113555538","0.06996249537736343","0.9737391088901136","10","194"
"sarsa_alpha0.49412527291605535_epsilon0.17260655431093563_epsilon_decay0.948955005594783_seed50","sarsa","0.49412527291605535","0.17260655431093563","0.948955005594783","50","110"
"sarsa_alpha0.9381770806371146_epsilon0.06599442901790153_epsilon_decay0.9190587052652236_seed10","sarsa","0.9381770806371146","0.06599442901790153","0.9190587052652236","10","21"
"sarsa_alpha0.036227409928973504_epsilon0.17421733723490274_epsilon_decay0.9572720821672211_seed30","sarsa","0.036227409928973504","0.17421733723490274","0.9572720821672211","30","185"
"sarsa_alpha0.7332479579407518_epsilon0.12237543632540376_epsilon_decay0.9413370189048292_seed20","sarsa","0.7332479579407518","0.12237543632540376","0.9413370189048292","20","22"
"sarsa_alpha0.4254029996875936_epsilon0.17932942126694135_epsilon_decay0.9427631049407582_seed40","sarsa","0.4254029996875936","0.17932942126694135","0.9427631049407582","40","121"
"sarsa_alpha0.9977593543485244_epsilon0.18306228445685713_epsilon_decay0.922862427873086_seed10","sarsa","0.9977593543485244","0.18306228445685713","0.922862427873086","10","44"
"sarsa_alpha0.2715967767401748_epsilon0.06462538201904774_epsilon_decay0.96246466057856_seed10","sarsa","0.2715967767401748","0.06462538201904774","0.96246466057856","10","105"
"sarsa_alpha0.7824824230216125_epsilon0.034429819248219216_epsilon_decay0.9347376701711556_seed10","sarsa","0.7824824230216125","0.034429819248219216","0.9347376701711556","10","35"
"sarsa_alpha0.41144721468543494_epsilon0.08353068163562805_epsilon_decay0.950218981703725_seed50","sarsa","0.41144721468543494","0.08353068163562805","0.950218981703725","50","233"
"sarsa_alpha0.04609607426266375_epsilon0.1117412624590092_epsilon_decay0.912196399693314_seed20","sarsa","0.04609607426266375","0.1117412624590092","0.912196399693314","20","146"
"sarsa_alpha0.5295313388331573_epsilon0.10231875726661478_epsilon_decay0.9765942651611708_seed30","sarsa","0.5295313388331573","0.10231875726661478","0.9765942651611708","30","68"
"sarsa_alpha0.14206363635865984_epsilon0.06549885913627931_epsilon_decay0.9317155973673212_seed30","sarsa","0.14206363635865984","0.06549885913627931","0.9317155973673212","30","113"
"sarsa_alpha0.1282592061124911_epsilon0.1990455450447211_epsilon_decay0.9612384517715816_seed10","sarsa","0.1282592061124911","0.1990455450447211","0.9612384517715816","10","195"
"sarsa_alpha0.9522577090475136_epsilon0.15568021690302852_epsilon_decay0.9374068318409692_seed20","sarsa","0.9522577090475136","0.15568021690302852","0.9374068318409692","20","24"
"sarsa_alpha0.6059190801076305_epsilon0.17779245241756697_epsilon_decay0.9617563980333016_seed20","sarsa","0.6059190801076305","0.17779245241756697","0.9617563980333016","20","201"
"sarsa_alpha0.3840115242936873_epsilon0.03576206781712795_epsilon_decay0.9059499631023938_seed40","sarsa","0.3840115242936873","0.03576206781712795","0.9059499631023938","40","153"
"sarsa_alpha0.1708482499418651_epsilon0.04511570876525054_epsilon_decay0.9734670167201566_seed10","sarsa","0.1708482499418651","0.04511570876525054","0.9734670167201566","10","219"
"sarsa_alpha0.8013288703092746_epsilon0.0995374673481922_epsilon_decay0.9099074050137068_seed30","sarsa","0.8013288703092746","0.0995374673481922","0.9099074050137068","30","47"
"sarsa_alpha0.6378899448683488_epsilon0.19711665372743192_epsilon_decay0.9434465280617964_seed20","sarsa","0.6378899448683488","0.19711665372743192","0.9434465280617964","20","101"
"sarsa_alpha0.20101784434648917_epsilon0.1062006581797469_epsilon_decay0.9882794650985292_seed40","sarsa","0.20101784434648917","0.1062006581797469","0.9882794650985292","40","311"
"sarsa_alpha0.29243418376376434_epsilon0.08802917333128023_epsilon_decay0.9775475355241036_seed10","sarsa","0.29243418376376434","0.08802917333128023","0.9775475355241036","10","212"
"sarsa_alpha0.551035078228847_epsilon0.15514203012235114_epsilon_decay0.9569185364117292_seed30","sarsa","0.551035078228847","0.15514203012235114","0.9569185364117292","30","67"
"sarsa_alpha0.4472014655334309_epsilon0.11956238545754558_epsilon_decay0.9357661456938148_seed30","sarsa","0.4472014655334309","0.11956238545754558","0.9357661456938148","30","46"
