"Name","algorithm","alpha","seed","tau","tau_decay","Total_steps"
"q_learning_alpha0.21994983135954363_tau2.745805656912458_tau_decay0.9831957848716733_seed50","q_learning","0.21994983135954363","50","2.745805656912458","0.9831957848716733",""
"q_learning_alpha0.6905645645868179_tau2.1691554936918553_tau_decay0.9023854916543114_seed10","q_learning","0.6905645645868179","10","2.1691554936918553","0.9023854916543114","9"
"q_learning_alpha0.4713181140333423_tau3.966882144471968_tau_decay0.9801385350320976_seed10","q_learning","0.4713181140333423","10","3.966882144471968","0.9801385350320976","15"
"q_learning_alpha0.7580749634226025_tau0.8303702152516914_tau_decay0.9731855352644396_seed40","q_learning","0.7580749634226025","40","0.8303702152516914","0.9731855352644396","15"
"q_learning_alpha0.08783785644109816_tau2.8100835003398137_tau_decay0.9365435075036164_seed30","q_learning","0.08783785644109816","30","2.8100835003398137","0.9365435075036164","3"
"q_learning_alpha0.321466139647694_tau1.1628731485657628_tau_decay0.9200721295898934_seed50","q_learning","0.321466139647694","50","1.1628731485657628","0.9200721295898934","6"
"q_learning_alpha0.19494744795197969_tau1.42338890951069_tau_decay0.9130048377294716_seed40","q_learning","0.19494744795197969","40","1.42338890951069","0.9130048377294716","8"
"q_learning_alpha0.8998410244180788_tau0.7406526972245113_tau_decay0.9852294207429964_seed50","q_learning","0.8998410244180788","50","0.7406526972245113","0.9852294207429964","8"
"q_learning_alpha0.2172590948557896_tau0.9933180323167788_tau_decay0.9878188598137004_seed40","q_learning","0.2172590948557896","40","0.9933180323167788","0.9878188598137004","9"
"q_learning_alpha0.14172229020379662_tau3.5266207947008437_tau_decay0.908635528559914_seed30","q_learning","0.14172229020379662","30","3.5266207947008437","0.908635528559914","10"
"q_learning_alpha0.6328799284114941_tau2.688042742078094_tau_decay0.9084192066875436_seed50","q_learning","0.6328799284114941","50","2.688042742078094","0.9084192066875436","3"
"q_learning_alpha0.3241818280693225_tau3.836517971900301_tau_decay0.9527085148684944_seed50","q_learning","0.3241818280693225","50","3.836517971900301","0.9527085148684944","3"
"q_learning_alpha0.8559938301392855_tau1.424372879195222_tau_decay0.9664968976725536_seed10","q_learning","0.8559938301392855","10","1.424372879195222","0.9664968976725536","3"
