"Name","algorithm","alpha","epsilon","epsilon_decay","seed","Total_steps"
"sarsa_alpha0.43742594797580664_epsilon0.11368518671313088_epsilon_decay0.9375006981651955_seed10","sarsa","0.43742594797580664","0.11368518671313088","0.9375006981651955","10",""
"sarsa_alpha0.1628537111845806_epsilon0.010374437312715224_epsilon_decay0.9627065925265992_seed30","sarsa","0.1628537111845806","0.010374437312715224","0.9627065925265992","30","100"
"sarsa_alpha0.9322024640226896_epsilon0.07591551255251912_epsilon_decay0.9841809393413004_seed10","sarsa","0.9322024640226896","0.07591551255251912","0.9841809393413004","10","6"
"sarsa_alpha0.7982024003437453_epsilon0.15563836373443304_epsilon_decay0.9385821628789086_seed40","sarsa","0.7982024003437453","0.15563836373443304","0.9385821628789086","40","17"
"sarsa_alpha0.27549870661023196_epsilon0.15165076500557037_epsilon_decay0.9877156173282724_seed20","sarsa","0.27549870661023196","0.15165076500557037","0.9877156173282724","20","38"
"sarsa_alpha0.9836787322389894_epsilon0.028907041122365515_epsilon_decay0.9530921917332016_seed20","sarsa","0.9836787322389894","0.028907041122365515","0.9530921917332016","20","8"
"sarsa_alpha0.38967039380210206_epsilon0.02126160610961899_epsilon_decay0.9528848351269856_seed20","sarsa","0.38967039380210206","0.02126160610961899","0.9528848351269856","20","100"
"sarsa_alpha0.5833868498632236_epsilon0.11064701420002188_epsilon_decay0.9854358000384584_seed50","sarsa","0.5833868498632236","0.11064701420002188","0.9854358000384584","50","16"
"sarsa_alpha0.8450607574486312_epsilon0.06025342698731012_epsilon_decay0.9503104148688256_seed10","sarsa","0.8450607574486312","0.06025342698731012","0.9503104148688256","10","24"
"sarsa_alpha0.22309541861846688_epsilon0.09265110887771744_epsilon_decay0.9523475410502648_seed20","sarsa","0.22309541861846688","0.09265110887771744","0.9523475410502648","20","30"
"sarsa_alpha0.11868958444898788_epsilon0.033948253277668136_epsilon_decay0.971454300774547_seed30","sarsa","0.11868958444898788","0.033948253277668136","0.971454300774547","30","38"
"sarsa_alpha0.6533565466380732_epsilon0.040299002140781706_epsilon_decay0.9239382161330292_seed30","sarsa","0.6533565466380732","0.040299002140781706","0.9239382161330292","30","10"
"sarsa_alpha0.16975912537179613_epsilon0.02868731753063012_epsilon_decay0.9695134498784084_seed40","sarsa","0.16975912537179613","0.02868731753063012","0.9695134498784084","40","75"
"sarsa_alpha0.426391862619296_epsilon0.1998127251145943_epsilon_decay0.9313907393810904_seed40","sarsa","0.426391862619296","0.1998127251145943","0.9313907393810904","40","27"
"sarsa_alpha0.13093492580799895_epsilon0.1811533701780795_epsilon_decay0.9449909853102584_seed30","sarsa","0.13093492580799895","0.1811533701780795","0.9449909853102584","30","10"
"sarsa_alpha0.3122999348695176_epsilon0.017330889175853022_epsilon_decay0.9721410821037928_seed40","sarsa","0.3122999348695176","0.017330889175853022","0.9721410821037928","40","100"
"sarsa_alpha0.9296514979303112_epsilon0.06639229573949763_epsilon_decay0.9251284845930828_seed30","sarsa","0.9296514979303112","0.06639229573949763","0.9251284845930828","30","8"
"sarsa_alpha0.9512739140668052_epsilon0.04031057602587757_epsilon_decay0.9140529133926036_seed10","sarsa","0.9512739140668052","0.04031057602587757","0.9140529133926036","10","9"
"sarsa_alpha0.7821613764893671_epsilon0.076833077514905_epsilon_decay0.971976740701092_seed40","sarsa","0.7821613764893671","0.076833077514905","0.971976740701092","40","16"
"sarsa_alpha0.509984164366648_epsilon0.15727929104136967_epsilon_decay0.9765771349370052_seed30","sarsa","0.509984164366648","0.15727929104136967","0.9765771349370052","30","9"
"sarsa_alpha0.2956421767732475_epsilon0.04940899384129448_epsilon_decay0.9260394421738048_seed20","sarsa","0.2956421767732475","0.04940899384129448","0.9260394421738048","20","27"
"sarsa_alpha0.6902776778190298_epsilon0.024509935763468545_epsilon_decay0.9502826860429808_seed40","sarsa","0.6902776778190298","0.024509935763468545","0.9502826860429808","40","9"
"sarsa_alpha0.5770508553371032_epsilon0.03507690778275547_epsilon_decay0.9646176561160796_seed40","sarsa","0.5770508553371032","0.03507690778275547","0.9646176561160796","40","36"
