"Name","algorithm","alpha","seed","tau","tau_decay","Episode_return"
"q_learning_alpha0.3499032747154095_tau0.6702312650457102_tau_decay0.9241026223651552_seed10","q_learning","0.3499032747154095","10","0.6702312650457102","0.9241026223651552",""
"q_learning_alpha0.6344286274305606_tau0.8942257753153107_tau_decay0.9132377609078302_seed20","q_learning","0.6344286274305606","20","0.8942257753153107","0.9132377609078302","-119"
"q_learning_alpha0.19185211033598948_tau0.565455860927039_tau_decay0.9257291487612382_seed40","q_learning","0.19185211033598948","40","0.565455860927039","0.9257291487612382","-155"
"q_learning_alpha0.11690558718968531_tau0.664106851168357_tau_decay0.9440111418821394_seed50","q_learning","0.11690558718968531","50","0.664106851168357","0.9440111418821394","-158"
"q_learning_alpha0.701433680783986_tau0.5625947827382284_tau_decay0.9082572348372104_seed20","q_learning","0.701433680783986","20","0.5625947827382284","0.9082572348372104","-163"
"q_learning_alpha0.5409227465194445_tau0.7511466438021817_tau_decay0.9154121894594408_seed20","q_learning","0.5409227465194445","20","0.7511466438021817","0.9154121894594408","-119"
"q_learning_alpha0.13263953025711975_tau0.6132273901962578_tau_decay0.9123992467324706_seed30","q_learning","0.13263953025711975","30","0.6132273901962578","0.9123992467324706","-111"
"q_learning_alpha0.5559253762179699_tau0.5208635827431687_tau_decay0.909052815381187_seed20","q_learning","0.5559253762179699","20","0.5208635827431687","0.909052815381187","-133"
"q_learning_alpha0.5088607981965958_tau0.5772116917221537_tau_decay0.9088717515259684_seed20","q_learning","0.5088607981965958","20","0.5772116917221537","0.9088717515259684","-115"
"q_learning_alpha0.39410184489545297_tau0.5993522991791473_tau_decay0.9158408255678574_seed20","q_learning","0.39410184489545297","20","0.5993522991791473","0.9158408255678574","-121"
"q_learning_alpha0.2523554442747694_tau0.6417222833929674_tau_decay0.9182512438162148_seed30","q_learning","0.2523554442747694","30","0.6417222833929674","0.9182512438162148","-116"
"q_learning_alpha0.7255635480531264_tau0.8067481534870298_tau_decay0.9201806610838608_seed10","q_learning","0.7255635480531264","10","0.8067481534870298","0.9201806610838608","-162"
