"Name","algorithm","alpha","epsilon","epsilon_decay","seed","Episode_return"
"sarsa_alpha0.07906703452266692_epsilon0.054567726453516305_epsilon_decay0.9039373049768412_seed10","sarsa","0.07906703452266692","0.054567726453516305","0.9039373049768412","10",""
"sarsa_alpha0.07954107415059192_epsilon0.040974736349437095_epsilon_decay0.9282785877662107_seed40","sarsa","0.07954107415059192","0.040974736349437095","0.9282785877662107","40","-148"
"sarsa_alpha0.05462958270332477_epsilon0.05601505172751291_epsilon_decay0.9168160502663084_seed30","sarsa","0.05462958270332477","0.05601505172751291","0.9168160502663084","30","-179"
"sarsa_alpha0.040276819288053205_epsilon0.09048680753740944_epsilon_decay0.9738234584413824_seed10","sarsa","0.040276819288053205","0.09048680753740944","0.9738234584413824","10","-333"
"sarsa_alpha0.06760755135522689_epsilon0.154191972594784_epsilon_decay0.9132620694916276_seed40","sarsa","0.06760755135522689","0.154191972594784","0.9132620694916276","40","-154"
"sarsa_alpha0.2950342170943533_epsilon0.15959390216712216_epsilon_decay0.935805228330608_seed30","sarsa","0.2950342170943533","0.15959390216712216","0.935805228330608","30","-314"
"sarsa_alpha0.06336708824251017_epsilon0.16785846289789796_epsilon_decay0.9683317631662988_seed10","sarsa","0.06336708824251017","0.16785846289789796","0.9683317631662988","10","-227"
"sarsa_alpha0.013922332852565724_epsilon0.01014207046311095_epsilon_decay0.9176303368663842_seed20","sarsa","0.013922332852565724","0.01014207046311095","0.9176303368663842","20","-149"
"sarsa_alpha0.3394280690200915_epsilon0.1891198581915932_epsilon_decay0.9687208847571828_seed20","sarsa","0.3394280690200915","0.1891198581915932","0.9687208847571828","20","-500"
"sarsa_alpha0.2576823886775277_epsilon0.1278125567687403_epsilon_decay0.9205319237527054_seed40","sarsa","0.2576823886775277","0.1278125567687403","0.9205319237527054","40","-155"
"sarsa_alpha0.011575820327042002_epsilon0.16580930118487386_epsilon_decay0.9438336577179148_seed40","sarsa","0.011575820327042002","0.16580930118487386","0.9438336577179148","40","-500"
"sarsa_alpha0.23218551243790067_epsilon0.1742373559292562_epsilon_decay0.9892826155142248_seed50","sarsa","0.23218551243790067","0.1742373559292562","0.9892826155142248","50","-224"
"sarsa_alpha0.5127376745173157_epsilon0.19839778379473655_epsilon_decay0.949774187173038_seed50","sarsa","0.5127376745173157","0.19839778379473655","0.949774187173038","50","-256"
"sarsa_alpha0.7185187146469931_epsilon0.13268404659401936_epsilon_decay0.9437715804464906_seed40","sarsa","0.7185187146469931","0.13268404659401936","0.9437715804464906","40","-500"
"sarsa_alpha0.05215203862962981_epsilon0.17699906193510326_epsilon_decay0.9660836679277476_seed50","sarsa","0.05215203862962981","0.17699906193510326","0.9660836679277476","50","-152"
"sarsa_alpha0.04886165532345623_epsilon0.028114500298062832_epsilon_decay0.9650258196477468_seed40","sarsa","0.04886165532345623","0.028114500298062832","0.9650258196477468","40","-155"
"sarsa_alpha0.020396664695804_epsilon0.06772018282440617_epsilon_decay0.9102488038122956_seed10","sarsa","0.020396664695804","0.06772018282440617","0.9102488038122956","10","-166"
"sarsa_alpha0.11588457616505488_epsilon0.02844311370954368_epsilon_decay0.9050966773638012_seed30","sarsa","0.11588457616505488","0.02844311370954368","0.9050966773638012","30","-132"
"sarsa_alpha0.029282631209895084_epsilon0.08465159208611366_epsilon_decay0.9572647417416216_seed40","sarsa","0.029282631209895084","0.08465159208611366","0.9572647417416216","40","-225"
"sarsa_alpha0.04954272379137444_epsilon0.011186902507027197_epsilon_decay0.9167828193957968_seed50","sarsa","0.04954272379137444","0.011186902507027197","0.9167828193957968","50","-141"
"sarsa_alpha0.02967665381815161_epsilon0.02802836825524207_epsilon_decay0.9393959628745332_seed30","sarsa","0.02967665381815161","0.02802836825524207","0.9393959628745332","30","-185"
"sarsa_alpha0.22699381858610915_epsilon0.16417126250817096_epsilon_decay0.9890790275933882_seed40","sarsa","0.22699381858610915","0.16417126250817096","0.9890790275933882","40","-223"
"sarsa_alpha0.010635017153283396_epsilon0.16293444816897515_epsilon_decay0.9648487332409824_seed40","sarsa","0.010635017153283396","0.16293444816897515","0.9648487332409824","40","-224"
"sarsa_alpha0.05490587645126557_epsilon0.16994003815478229_epsilon_decay0.9725925843577018_seed50","sarsa","0.05490587645126557","0.16994003815478229","0.9725925843577018","50","-149"
"sarsa_alpha0.02798404807592817_epsilon0.04239951514927827_epsilon_decay0.9029499344116672_seed10","sarsa","0.02798404807592817","0.04239951514927827","0.9029499344116672","10","-156"
"sarsa_alpha0.010596195656319524_epsilon0.1732019408431641_epsilon_decay0.94146138818338_seed40","sarsa","0.010596195656319524","0.1732019408431641","0.94146138818338","40","-146"
"sarsa_alpha0.056672169450665055_epsilon0.1507896190979103_epsilon_decay0.988163342272744_seed50","sarsa","0.056672169450665055","0.1507896190979103","0.988163342272744","50","-198"
"sarsa_alpha0.035144666536604405_epsilon0.018083907155639786_epsilon_decay0.9115638335260704_seed20","sarsa","0.035144666536604405","0.018083907155639786","0.9115638335260704","20","-147"
"sarsa_alpha0.3407130085652419_epsilon0.16461199657638434_epsilon_decay0.9165835124662336_seed10","sarsa","0.3407130085652419","0.16461199657638434","0.9165835124662336","10","-307"
"sarsa_alpha0.03261133235245048_epsilon0.17889406313188808_epsilon_decay0.9878722598221954_seed10","sarsa","0.03261133235245048","0.17889406313188808","0.9878722598221954","10","-226"
"sarsa_alpha0.014503098093236789_epsilon0.17849854415522343_epsilon_decay0.9643084569236609_seed30","sarsa","0.014503098093236789","0.17849854415522343","0.9643084569236609","30","-204"
"sarsa_alpha0.05923006850566004_epsilon0.0844758629777728_epsilon_decay0.9209244664710368_seed20","sarsa","0.05923006850566004","0.0844758629777728","0.9209244664710368","20","-178"
"sarsa_alpha0.13161363685236702_epsilon0.04503155557299173_epsilon_decay0.9395689904906308_seed30","sarsa","0.13161363685236702","0.04503155557299173","0.9395689904906308","30","-187"
"sarsa_alpha0.08468116992146477_epsilon0.17378870123248422_epsilon_decay0.9736175767990716_seed40","sarsa","0.08468116992146477","0.17378870123248422","0.9736175767990716","40","-146"
"sarsa_alpha0.14598285527595375_epsilon0.1513550276842422_epsilon_decay0.9882418213793376_seed40","sarsa","0.14598285527595375","0.1513550276842422","0.9882418213793376","40","-151"
"sarsa_alpha0.10053300547986783_epsilon0.01894107573980066_epsilon_decay0.9164155239578848_seed30","sarsa","0.10053300547986783","0.01894107573980066","0.9164155239578848","30","-183"
"sarsa_alpha0.04705346370851865_epsilon0.15257317311971716_epsilon_decay0.958183089616146_seed40","sarsa","0.04705346370851865","0.15257317311971716","0.958183089616146","40","-159"
"sarsa_alpha0.5226869731941355_epsilon0.18299861059814793_epsilon_decay0.9751984532672642_seed20","sarsa","0.5226869731941355","0.18299861059814793","0.9751984532672642","20","-199"
"sarsa_alpha0.06616718674866351_epsilon0.0475878975025805_epsilon_decay0.9029688893533616_seed20","sarsa","0.06616718674866351","0.0475878975025805","0.9029688893533616","20","-195"
"sarsa_alpha0.92122479674928_epsilon0.02702711444980473_epsilon_decay0.9116292955755052_seed30","sarsa","0.92122479674928","0.02702711444980473","0.9116292955755052","30","-353"
